[2025-01-31T07:20:35.721+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_json manual__2025-01-31T07:20:11.397997+00:00 [queued]>
[2025-01-31T07:20:35.726+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_json manual__2025-01-31T07:20:11.397997+00:00 [queued]>
[2025-01-31T07:20:35.727+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-01-31T07:20:35.915+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.915+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.915+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.915+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.915+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.915+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.915+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.915+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.915+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.916+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.917+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.920+0000] {python.py:183} INFO - Done. Returned value was: []
[2025-01-31T07:20:35.940+0000] {taskinstance.py:1350} INFO - Marking task as SUCCESS. dag_id=naver_flight_pipeline, task_id=process_json, execution_date=20250131T072011, start_date=20250131T072035, end_date=20250131T072035
[2025-01-31T07:20:35.966+0000] {local_task_job_runner.py:225} INFO - Task exited with return code 0
[2025-01-31T07:20:35.984+0000] {taskinstance.py:2653} INFO - 1 downstream tasks scheduled from follow-on schedule check
